"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b_Intercept","1,880","1","-3.1","0","1.5","-6","-4.1","-3.1","-2.1","-0.3"
"b_BIO08_Mean","1,785","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","0"
"b_TXX_IDW1N10","1,790","1","0.3","0","0","0.3","0.3","0.3","0.3","0.3"
"b_BIO02_Mean","2,420","1","-0.4","0","0","-0.5","-0.4","-0.4","-0.4","-0.3"
"b_TN90P_IDW1N10","2,110","1","-0.9","0","0.1","-1.1","-1","-0.9","-0.9","-0.7"
"b_ID_IDW1N10","2,505","1","-0.1","0","0","-0.1","-0.1","-0.1","-0.1","-0.1"
"b_BIO14_Mean","3,232","1","0","0","0","0","0","0","0","0"
"b_BIO18_Mean","4,000","1","0","0","0","0","0","0","0","0"
"b_CWD_IDW1N10","2,666","1","0","0","0","0","0","0","0","0"
"b_RX1DAY_IDW1N10","2,156","1","0.1","0","0","0.1","0.1","0.1","0.1","0.1"
"b_WSDI_IDW1N10","2,574","1","0.3","0","0","0.3","0.3","0.3","0.3","0.4"
"log-posterior","1,275","1","-1487.4","0.1","2.4","-1493.1","-1488.7","-1487.1","-1485.7","-1483.8"